source,target,weight,anchors
https://getmaxim.ai/docs,https://getmaxim.ai/docs,9,1. Experiment | 2. Evaluate | 3. Observe | 4. Data engine | Skip to main content | ​
https://getmaxim.ai/docs,https://www.getmaxim.ai,2,Home | Maxim Docs home page
https://getmaxim.ai/docs,https://www.getmaxim.ai/careers,1,Careers
https://getmaxim.ai/docs,https://www.getmaxim.ai/blog,2,Blog
https://getmaxim.ai/docs,https://www.getmaxim.ai/pricing,1,Pricing
https://getmaxim.ai/docs,https://www.getmaxim.ai/login,2,Get started free
https://getmaxim.ai/docs,https://getmaxim.ai/docs/introduction/overview,2,Documentation | Platform Overview
https://getmaxim.ai/docs,https://getmaxim.ai/docs/sdk/overview,1,SDK
https://getmaxim.ai/docs,https://getmaxim.ai/docs/public-apis/overview,1,API Reference
https://getmaxim.ai/docs,https://getmaxim.ai/docs/self-hosting/overview,1,Self Hosting
https://getmaxim.ai/docs,https://getmaxim.ai/docs/cookbooks/integrations/agno,1,Cookbooks
https://getmaxim.ai/docs,https://getmaxim.ai/docs/release-notes/Aug 2025/flexi-evals,1,Changelog
https://getmaxim.ai/docs,https://getmaxim.ai/docs/introduction/running-your-first-eval,2,Running Your First Eval | Running Your First Eval Next
https://getmaxim.ai/docs,https://getmaxim.ai/docs/offline-evals/overview,1,Offline Evaluation Overview
https://getmaxim.ai/docs,https://getmaxim.ai/docs/offline-evals/concepts,1,Offline Evaluation Concepts
https://getmaxim.ai/docs,https://getmaxim.ai/docs/online-evals/overview,1,Online Evaluation Overview
https://getmaxim.ai/docs,https://getmaxim.ai/docs/online-evals/set-up-alerts-and-notifications,1,Set Up Alerts and Notifications
https://getmaxim.ai/docs,https://getmaxim.ai/docs/tracing/overview,1,Tracing Overview
https://getmaxim.ai/docs,https://getmaxim.ai/docs/tracing/concepts,1,Tracing Concepts
https://getmaxim.ai/docs,https://getmaxim.ai/docs/tracing/quickstart,1,Tracing Quickstart
https://getmaxim.ai/docs,https://getmaxim.ai/docs/tracing/dashboard,1,Dashboard
https://getmaxim.ai/docs,https://getmaxim.ai/docs/tracing/exports,1,Exports
https://getmaxim.ai/docs,https://getmaxim.ai/docs/tracing/reporting,1,Reporting
https://getmaxim.ai/docs,https://getmaxim.ai/docs/library/overview,1,Library Overview
https://getmaxim.ai/docs,https://getmaxim.ai/docs/library/concepts,1,Library Concepts
https://getmaxim.ai/docs,https://getmaxim.ai/docs/library/context-sources,1,Context Sources
https://getmaxim.ai/docs,https://getmaxim.ai/docs/library/prompt-tools,1,Prompt Tools
https://getmaxim.ai/docs,https://getmaxim.ai/docs/library/prompt-partials,1,Creating Prompt Partials
https://getmaxim.ai/docs,https://getmaxim.ai/docs/dashboards/test-runs-comparison-dashboard,1,Test Runs Comparison Dashboard
https://getmaxim.ai/docs,https://getmaxim.ai/docs/dashboards/custom-logs-dashboard,1,Custom Logs Dashboards
https://getmaxim.ai/docs,https://getmaxim.ai/docs/integrations/openai-agents-sdk,1,OpenAI Agents SDK
https://getmaxim.ai/docs,https://getmaxim.ai/docs/integrations/create-a-pagerduty-integration,1,Create a PagerDuty Integration
https://getmaxim.ai/docs,https://getmaxim.ai/docs/integrations/create-a-slack-integration,1,Create a Slack Integration
https://getmaxim.ai/docs,https://getmaxim.ai/docs/settings/members-and-roles,1,Members and Roles
https://getmaxim.ai/docs,https://getmaxim.ai/docs/settings/model-configuration,1,Model Configuration
https://getmaxim.ai/docs,https://getmaxim.ai/docs/settings/maxim-api-keys,1,Maxim API keys
https://getmaxim.ai/docs,https://getmaxim.ai/docs/settings/custom-pricing,1,Custom Pricing
https://getmaxim.ai/docs,https://getmaxim.ai/docs/settings/vault,1,Vault
https://getmaxim.ai/docs,https://getmaxim.ai/docs/settings/environment,1,Environment
https://getmaxim.ai/docs,https://getmaxim.ai/docs/settings/two-factor-authentication,1,Two-Factor Authentication
https://getmaxim.ai/docs,https://getmaxim.ai/docs/settings/setup-sso-with-okta,1,Set up Single Sign-On (SSO) with Okta
https://getmaxim.ai/docs,https://getmaxim.ai/docs/settings/setup-sso-with-google,1,Set up Single Sign-On (SSO) with Google
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/offline-evals/overview,2,Offline Evaluation Overview | Skip to main content
https://getmaxim.ai/docs/offline-evals/overview,https://www.getmaxim.ai,2,Home | Maxim Docs home page
https://getmaxim.ai/docs/offline-evals/overview,https://www.getmaxim.ai/careers,1,Careers
https://getmaxim.ai/docs/offline-evals/overview,https://www.getmaxim.ai/blog,2,Blog
https://getmaxim.ai/docs/offline-evals/overview,https://www.getmaxim.ai/pricing,1,Pricing
https://getmaxim.ai/docs/offline-evals/overview,https://www.getmaxim.ai/login,2,Get started free
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/introduction/overview,2,Documentation | Platform Overview
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/sdk/overview,1,SDK
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/public-apis/overview,1,API Reference
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/self-hosting/overview,1,Self Hosting
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/cookbooks/integrations/agno,1,Cookbooks
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/release-notes/Aug 2025/flexi-evals,1,Changelog
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/introduction/running-your-first-eval,2,Running Your First Eval | Running Your First Eval Previous
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/offline-evals/concepts,2,Offline Evaluation Concepts | Offline Evaluation Concepts Next
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/online-evals/overview,1,Online Evaluation Overview
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/online-evals/set-up-alerts-and-notifications,1,Set Up Alerts and Notifications
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/tracing/overview,1,Tracing Overview
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/tracing/concepts,1,Tracing Concepts
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/tracing/quickstart,1,Tracing Quickstart
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/tracing/dashboard,1,Dashboard
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/tracing/exports,1,Exports
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/tracing/reporting,1,Reporting
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/library/overview,1,Library Overview
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/library/concepts,1,Library Concepts
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/library/context-sources,1,Context Sources
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/library/prompt-tools,1,Prompt Tools
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/library/prompt-partials,1,Creating Prompt Partials
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/dashboards/test-runs-comparison-dashboard,1,Test Runs Comparison Dashboard
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/dashboards/custom-logs-dashboard,1,Custom Logs Dashboards
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/integrations/openai-agents-sdk,1,OpenAI Agents SDK
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/integrations/create-a-pagerduty-integration,1,Create a PagerDuty Integration
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/integrations/create-a-slack-integration,1,Create a Slack Integration
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/settings/members-and-roles,1,Members and Roles
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/settings/model-configuration,1,Model Configuration
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/settings/maxim-api-keys,1,Maxim API keys
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/settings/custom-pricing,1,Custom Pricing
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/settings/vault,1,Vault
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/settings/environment,1,Environment
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/settings/two-factor-authentication,1,Two-Factor Authentication
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/settings/setup-sso-with-okta,1,Set up Single Sign-On (SSO) with Okta
https://getmaxim.ai/docs/offline-evals/overview,https://getmaxim.ai/docs/settings/setup-sso-with-google,1,Set up Single Sign-On (SSO) with Google
https://www.getmaxim.ai/blog,https://www.getmaxim.ai/,2,Features
https://www.getmaxim.ai/blog,https://www.getmaxim.ai/pricing,3,Pricing
https://www.getmaxim.ai/blog,https://www.getmaxim.ai/careers,3,Careers
https://www.getmaxim.ai/blog,https://www.getmaxim.ai/blog,3,Blog
https://www.getmaxim.ai/blog,https://www.getmaxim.ai/docs/,2,Docs
https://www.getmaxim.ai/blog,https://app.getmaxim.ai/login,2,Sign in
https://www.getmaxim.ai/blog,https://app.getmaxim.ai/sign-up,3,Get started free
https://www.getmaxim.ai/blog,https://www.getmaxim.ai/demo,3,Book a demo
https://www.getmaxim.ai/blog,https://www.getmaxim.ai/blog/page/2,2,Latest | Show more
https://www.getmaxim.ai/blog,https://www.getmaxim.ai/blog/,1,Search posts...
https://www.getmaxim.ai/blog,https://www.getmaxim.ai/blog/choosing-the-right-ai-agent-framework-a-comprehensive-guide/,2,"Choosing the Right AI Agent Framework: A Comprehensive Guide The landscape of AI agent development has matured from experimental prototypes to production-grade systems. With numerous frameworks emerging, each with distinct philosophies and capabilities, choosing the right one demands careful evaluation of technical requirements, team expertise, and business objectives. At Maxim, we've conducted an extensive analysis of the Akshit Madan Oct 7, 2025"
https://www.getmaxim.ai/blog,https://www.getmaxim.ai/blog/ditto-tts-the-tts-system-that-doesnt-need-your-phonemes-and-why-thats-a-big-deal/,2,"DiTTo-TTS: The TTS System That Doesn't Need Your Phonemes (And Why That's a Big Deal) Text-to-speech has always been that one AI domain where you couldn't just throw data at the problem and call it a day. “Data is the moat” is straight up not a thing here. Want to build a TTS system? Better get comfortable with phonemizers, forced aligners, duration predictors, Vrinda Kohli Oct 1, 2025 | DiTTo-TTS: The TTS System That Doesn't Need Your Phonemes (And Why That's a Big Deal) Vrinda Kohli Oct 1, 2025"
https://www.getmaxim.ai/blog,https://www.getmaxim.ai/blog/are-small-language-models-the-future-of-agentic-ai/,4,"Are Small Language Models the Future of Agentic AI? | Are Small Language Models the Future of Agentic AI? Akshit Madan Sep 25, 2025"
https://www.getmaxim.ai/blog,https://www.getmaxim.ai/blog/what-gense-gets-right-for-llm-assisted-speech-enhancement/,2,"What GenSE Gets Right For LLM-Assisted Speech Enhancement 🎙️ Vrinda Kohli Sep 18, 2025"
https://www.getmaxim.ai/blog,https://www.getmaxim.ai/blog/building-a-simple-second-brain-ai-agent-with-vercel-ai-sdk-maxim-ai/,3,"Building a Simple Second Brain AI Agent with Vercel AI SDK & Maxim AI | Building a Simple Second Brain AI Agent with Vercel AI SDK & Maxim AI Akshit Madan Sep 18, 2025"
https://www.getmaxim.ai/blog,https://www.getmaxim.ai/blog/building-an-ai-product-review-analyzer-structured-outputs-with-together-ai-and-maxim-observability/,3,"Building an AI Product Review Analyzer: Structured Outputs with Together AI and Maxim Observability | Building an AI Product Review Analyzer: Structured Outputs with Together AI and Maxim Observability Akshit Madan Sep 11, 2025"
https://www.getmaxim.ai/blog,https://www.getmaxim.ai/blog/maxim-ai-august-2025-updates/,2,"✨ Voice simulation, Flexi evals, Adaptive load balancing, and more Utsav Khandelwal Sep 10, 2025 | ✨ Voice simulation, Flexi evals, Adaptive load balancing, and more 🎙️ Feature spotlight 🤖 Voice simulation and evals are live on Maxim! Teams can now simulate multi-turn conversations with their voice agents and monitor performance across hundreds of scenarios and user personas – at a fraction of the time and effort required for manual testing. You can simply bring your voice agents onto Utsav Khandelwal Sep 10, 2025"
https://www.getmaxim.ai/blog,https://www.getmaxim.ai/blog/tag/research-paper/,2,Show more | research paper
https://getmaxim.ai/docs/settings/maxim-api-keys,https://getmaxim.ai/docs/settings/maxim-api-keys,2,Maxim API keys | Skip to main content
https://getmaxim.ai/docs/settings/maxim-api-keys,https://www.getmaxim.ai,2,Home | Maxim Docs home page
https://getmaxim.ai/docs/settings/maxim-api-keys,https://www.getmaxim.ai/careers,1,Careers
https://getmaxim.ai/docs/settings/maxim-api-keys,https://www.getmaxim.ai/blog,2,Blog
https://getmaxim.ai/docs/settings/maxim-api-keys,https://www.getmaxim.ai/pricing,1,Pricing
https://getmaxim.ai/docs/settings/maxim-api-keys,https://www.getmaxim.ai/login,2,Get started free
https://getmaxim.ai/docs/settings/maxim-api-keys,https://getmaxim.ai/docs/introduction/overview,2,Documentation | Platform Overview
https://getmaxim.ai/docs/settings/maxim-api-keys,https://getmaxim.ai/docs/sdk/overview,1,SDK
https://getmaxim.ai/docs/settings/maxim-api-keys,https://getmaxim.ai/docs/public-apis/overview,1,API Reference
